Nombre,Fecha inicio,Fecha fin,URL,Ciudad,Estado,Latitud,Longitud
C.A. Amics del Gos – Prueba de Agility,"12 diciembre, 2025","14 diciembre, 2025",https://www.rsce.es/eventos/c-a-amics-del-gos-prueba-de-agility/,Ondara (Alicante),Activo,38.8277759,0.0170054
C.A. Momo – Prueba de Agility,"13 diciembre, 2025","14 diciembre, 2025",https://www.rsce.es/eventos/c-a-momo-prueba-de-agility-3/,Cuenca,Activo,40.0661031,-2.1313528
C.A. Zarajump – Prueba de Agility,"13 diciembre, 2025","14 diciembre, 2025",https://www.rsce.es/eventos/c-a-zarajump-prueba-de-agility-5/,Gotor (Zaragoza),Activo,41.5459291,-1.6499755
C.A. La Daga – Prueba de Agility,"13 diciembre, 2025",,https://www.rsce.es/eventos/c-a-la-daga-prueba-de-agility/,Lérida,Activo,41.6147605,0.6267842
C.A. Tinerfe – Prueba de Agility,"20 diciembre, 2025","21 diciembre, 2025",https://www.rsce.es/eventos/c-a-tinerfe-prueba-de-agility-3/,Tenerife,Activo,28.2935785,-16.6214471
C.A. L’Almozara – Prueba de Agility,"20 diciembre, 2025","21 diciembre, 2025",https://www.rsce.es/eventos/c-a-lalmozara-prueba-de-agility/,Zaragoza,Activo,41.6521342,-0.8809428
C.A. Depordog – Prueba de Agility,"20 diciembre, 2025","21 diciembre, 2025",https://www.rsce.es/eventos/c-a-depordog-prueba-de-agility-3/,Cádiz,Activo,36.5297438,-6.2928976
C.A. Mi Perro 10 – Prueba de Agility,"20 diciembre, 2025","21 diciembre, 2025",https://www.rsce.es/eventos/c-a-mi-perro-10-prueba-de-agility-2/,Madrid,Activo,40.4167047,-3.7035825
C.A. Evo Dog’s – Prueba de Agility,"20 diciembre, 2025","21 diciembre, 2025",https://www.rsce.es/eventos/c-a-evo-dogs-prueba-de-agility-3/,Asturias,Activo,43.3133868,-5.94192
C.A. Badalona – Prueba de Agility,"20 diciembre, 2025",,https://www.rsce.es/eventos/c-a-badalona-prueba-de-agility-5/,Barcelona,Activo,41.3825802,2.177073
C.A. Divertidog Sonrisas y Huellas – Prueba de Agility,"26 diciembre, 2025","28 diciembre, 2025",https://www.rsce.es/eventos/c-a-divertidog-sonrisas-y-huellas-prueba-de-agility-5/,Zaragoza,Activo,41.6521342,-0.8809428
C.A. Elite Dogs – Prueba de Agility,"27 diciembre, 2025","28 diciembre, 2025",https://www.rsce.es/eventos/c-a-elite-dogs-prueba-de-agility-3/,Madrid,Activo,40.4167047,-3.7035825
C.A. Rivalcan – Prueba de Agility,"27 diciembre, 2025","28 diciembre, 2025",https://www.rsce.es/eventos/c-a-rivalcan-prueba-de-agility-4/,Barcelona,Activo,41.3825802,2.177073
C.A. Parque del Alamillo – Prueba de Agility,"27 diciembre, 2025","28 diciembre, 2025",https://www.rsce.es/eventos/c-a-parque-del-alamillo-prueba-de-agility-4/,Sevilla,Activo,37.3886303,-5.9953403
